"round","value","source","game","treatment","metric"
4,0.679003906249982,"Simulation: retained episodes","linear","AI","group_relative_contribution"
5,0.688907877604152,"Simulation: retained episodes","linear","AI","group_relative_contribution"
6,0.698697916666673,"Simulation: retained episodes","linear","AI","group_relative_contribution"
7,0.702026367187499,"Simulation: retained episodes","linear","AI","group_relative_contribution"
8,0.709008789062509,"Simulation: retained episodes","linear","AI","group_relative_contribution"
9,0.706429036458337,"Simulation: retained episodes","linear","AI","group_relative_contribution"
10,0.704060872395838,"Simulation: retained episodes","linear","AI","group_relative_contribution"
11,0.706673177083336,"Simulation: retained episodes","linear","AI","group_relative_contribution"
12,0.713793945312513,"Simulation: retained episodes","linear","AI","group_relative_contribution"
13,0.708805338541666,"Simulation: retained episodes","linear","AI","group_relative_contribution"
14,0.708243815104173,"Simulation: retained episodes","linear","AI","group_relative_contribution"
15,0.712377929687508,"Simulation: retained episodes","linear","AI","group_relative_contribution"
16,0.707430013020839,"Simulation: retained episodes","linear","AI","group_relative_contribution"
17,0.711311848958337,"Simulation: retained episodes","linear","AI","group_relative_contribution"
18,0.709619140625013,"Simulation: retained episodes","linear","AI","group_relative_contribution"
19,0.714078776041673,"Simulation: retained episodes","linear","AI","group_relative_contribution"
20,0.712630208333333,"Simulation: retained episodes","linear","AI","group_relative_contribution"
1,0.653044871794846,"Experiment","linear","AI","group_relative_contribution"
2,0.710136217948712,"Experiment","linear","AI","group_relative_contribution"
3,0.734374999999987,"Experiment","linear","AI","group_relative_contribution"
4,0.730368589743596,"Experiment","linear","AI","group_relative_contribution"
5,0.690504807692327,"Experiment","linear","AI","group_relative_contribution"
6,0.699919871794885,"Experiment","linear","AI","group_relative_contribution"
7,0.697516025640994,"Experiment","linear","AI","group_relative_contribution"
8,0.690705128205115,"Experiment","linear","AI","group_relative_contribution"
9,0.674278846153879,"Experiment","linear","AI","group_relative_contribution"
10,0.66025641025641,"Experiment","linear","AI","group_relative_contribution"
11,0.679687500000019,"Experiment","linear","AI","group_relative_contribution"
12,0.679086538461577,"Experiment","linear","AI","group_relative_contribution"
13,0.67568108974355,"Experiment","linear","AI","group_relative_contribution"
14,0.656650641025667,"Experiment","linear","AI","group_relative_contribution"
15,0.671274038461556,"Experiment","linear","AI","group_relative_contribution"
16,0.675480769230738,"Experiment","linear","AI","group_relative_contribution"
17,0.666866987179519,"Experiment","linear","AI","group_relative_contribution"
18,0.634014423076915,"Experiment","linear","AI","group_relative_contribution"
19,0.586338141025635,"Experiment","linear","AI","group_relative_contribution"
20,0.539663461538454,"Experiment","linear","AI","group_relative_contribution"
1,0.469466145833349,"Simulation: retained episodes","linear","MI","group_relative_contribution"
2,0.514624023437504,"Simulation: retained episodes","linear","MI","group_relative_contribution"
3,0.527124023437502,"Simulation: retained episodes","linear","MI","group_relative_contribution"
4,0.552604166666668,"Simulation: retained episodes","linear","MI","group_relative_contribution"
5,0.560188802083327,"Simulation: retained episodes","linear","MI","group_relative_contribution"
6,0.559863281249997,"Simulation: retained episodes","linear","MI","group_relative_contribution"
7,0.5648193359375,"Simulation: retained episodes","linear","MI","group_relative_contribution"
8,0.574023437500003,"Simulation: retained episodes","linear","MI","group_relative_contribution"
9,0.571931966145828,"Simulation: retained episodes","linear","MI","group_relative_contribution"
10,0.567041015625016,"Simulation: retained episodes","linear","MI","group_relative_contribution"
11,0.571337890624991,"Simulation: retained episodes","linear","MI","group_relative_contribution"
12,0.575870768229161,"Simulation: retained episodes","linear","MI","group_relative_contribution"
13,0.577229817708332,"Simulation: retained episodes","linear","MI","group_relative_contribution"
14,0.578507486979164,"Simulation: retained episodes","linear","MI","group_relative_contribution"
15,0.565690104166661,"Simulation: retained episodes","linear","MI","group_relative_contribution"
16,0.576790364583339,"Simulation: retained episodes","linear","MI","group_relative_contribution"
17,0.575610351562503,"Simulation: retained episodes","linear","MI","group_relative_contribution"
18,0.574186197916662,"Simulation: retained episodes","linear","MI","group_relative_contribution"
19,0.578719075520825,"Simulation: retained episodes","linear","MI","group_relative_contribution"
20,0.578645833333331,"Simulation: retained episodes","linear","MI","group_relative_contribution"
1,0.625578703703704,"Experiment","linear","MI","group_relative_contribution"
2,0.687692901234537,"Experiment","linear","MI","group_relative_contribution"
3,0.689043209876574,"Experiment","linear","MI","group_relative_contribution"
4,0.704475308642,"Experiment","linear","MI","group_relative_contribution"
5,0.694444444444407,"Experiment","linear","MI","group_relative_contribution"
6,0.687885802469191,"Experiment","linear","MI","group_relative_contribution"
7,0.671103395061722,"Experiment","linear","MI","group_relative_contribution"
8,0.669945987654352,"Experiment","linear","MI","group_relative_contribution"
9,0.67689043209873,"Experiment","linear","MI","group_relative_contribution"
10,0.675154320987722,"Experiment","linear","MI","group_relative_contribution"
11,0.681327160493815,"Experiment","linear","MI","group_relative_contribution"
12,0.686921296296315,"Experiment","linear","MI","group_relative_contribution"
13,0.710841049382667,"Experiment","linear","MI","group_relative_contribution"
14,0.714699074074074,"Experiment","linear","MI","group_relative_contribution"
15,0.708719135802468,"Experiment","linear","MI","group_relative_contribution"
16,0.713927469135796,"Experiment","linear","MI","group_relative_contribution"
17,0.695794753086426,"Experiment","linear","MI","group_relative_contribution"
18,0.638310185185209,"Experiment","linear","MI","group_relative_contribution"
19,0.596836419753065,"Experiment","linear","MI","group_relative_contribution"
20,0.52411265432105,"Experiment","linear","MI","group_relative_contribution"
1,0.6609375,"Simulation: retained episodes","threshold","FE","success"
2,0.85859375,"Simulation: retained episodes","threshold","FE","success"
3,0.959375,"Simulation: retained episodes","threshold","FE","success"
4,0.95234375,"Simulation: retained episodes","threshold","FE","success"
5,0.9625,"Simulation: retained episodes","threshold","FE","success"
6,0.9625,"Simulation: retained episodes","threshold","FE","success"
7,0.9625,"Simulation: retained episodes","threshold","FE","success"
8,0.9625,"Simulation: retained episodes","threshold","FE","success"
9,0.9625,"Simulation: retained episodes","threshold","FE","success"
10,0.9625,"Simulation: retained episodes","threshold","FE","success"
11,0.9625,"Simulation: retained episodes","threshold","FE","success"
12,0.9625,"Simulation: retained episodes","threshold","FE","success"
13,0.9625,"Simulation: retained episodes","threshold","FE","success"
14,0.9625,"Simulation: retained episodes","threshold","FE","success"
15,0.9625,"Simulation: retained episodes","threshold","FE","success"
16,0.9625,"Simulation: retained episodes","threshold","FE","success"
17,0.9625,"Simulation: retained episodes","threshold","FE","success"
18,0.9625,"Simulation: retained episodes","threshold","FE","success"
19,0.9625,"Simulation: retained episodes","threshold","FE","success"
20,0.9625,"Simulation: retained episodes","threshold","FE","success"
1,0.842105263157895,"Experiment","threshold","FE","success"
2,0.868421052631579,"Experiment","threshold","FE","success"
3,0.894736842105263,"Experiment","threshold","FE","success"
4,0.947368421052632,"Experiment","threshold","FE","success"
5,0.947368421052632,"Experiment","threshold","FE","success"
6,0.868421052631579,"Experiment","threshold","FE","success"
7,0.894736842105263,"Experiment","threshold","FE","success"
8,0.894736842105263,"Experiment","threshold","FE","success"
9,0.921052631578947,"Experiment","threshold","FE","success"
10,0.921052631578947,"Experiment","threshold","FE","success"
11,0.947368421052632,"Experiment","threshold","FE","success"
12,0.894736842105263,"Experiment","threshold","FE","success"
13,0.921052631578947,"Experiment","threshold","FE","success"
14,0.921052631578947,"Experiment","threshold","FE","success"
15,0.894736842105263,"Experiment","threshold","FE","success"
16,0.894736842105263,"Experiment","threshold","FE","success"
17,0.921052631578947,"Experiment","threshold","FE","success"
18,0.894736842105263,"Experiment","threshold","FE","success"
19,0.868421052631579,"Experiment","threshold","FE","success"
20,0.842105263157895,"Experiment","threshold","FE","success"
1,0.515625,"Simulation: retained episodes","threshold","AI","success"
2,0.6890625,"Simulation: retained episodes","threshold","AI","success"
3,0.76953125,"Simulation: retained episodes","threshold","AI","success"
4,0.7984375,"Simulation: retained episodes","threshold","AI","success"
5,0.809375,"Simulation: retained episodes","threshold","AI","success"
6,0.815625,"Simulation: retained episodes","threshold","AI","success"
7,0.81171875,"Simulation: retained episodes","threshold","AI","success"
8,0.809375,"Simulation: retained episodes","threshold","AI","success"
9,0.81328125,"Simulation: retained episodes","threshold","AI","success"
10,0.815625,"Simulation: retained episodes","threshold","AI","success"
11,0.8125,"Simulation: retained episodes","threshold","AI","success"
12,0.81328125,"Simulation: retained episodes","threshold","AI","success"
13,0.8140625,"Simulation: retained episodes","threshold","AI","success"
14,0.8140625,"Simulation: retained episodes","threshold","AI","success"
15,0.8140625,"Simulation: retained episodes","threshold","AI","success"
16,0.8125,"Simulation: retained episodes","threshold","AI","success"
17,0.80859375,"Simulation: retained episodes","threshold","AI","success"
18,0.81484375,"Simulation: retained episodes","threshold","AI","success"
19,0.8125,"Simulation: retained episodes","threshold","AI","success"
20,0.8109375,"Simulation: retained episodes","threshold","AI","success"
1,0.46,"Experiment","threshold","AI","success"
2,0.48,"Experiment","threshold","AI","success"
3,0.48,"Experiment","threshold","AI","success"
4,0.48,"Experiment","threshold","AI","success"
5,0.48,"Experiment","threshold","AI","success"
6,0.42,"Experiment","threshold","AI","success"
7,0.52,"Experiment","threshold","AI","success"
8,0.42,"Experiment","threshold","AI","success"
9,0.42,"Experiment","threshold","AI","success"
10,0.48,"Experiment","threshold","AI","success"
11,0.54,"Experiment","threshold","AI","success"
12,0.48,"Experiment","threshold","AI","success"
13,0.52,"Experiment","threshold","AI","success"
14,0.58,"Experiment","threshold","AI","success"
15,0.54,"Experiment","threshold","AI","success"
16,0.5,"Experiment","threshold","AI","success"
17,0.54,"Experiment","threshold","AI","success"
18,0.42,"Experiment","threshold","AI","success"
19,0.42,"Experiment","threshold","AI","success"
20,0.42,"Experiment","threshold","AI","success"
1,0.4515625,"Simulation: retained episodes","threshold","MI","success"
2,0.753125,"Simulation: retained episodes","threshold","MI","success"
3,0.834375,"Simulation: retained episodes","threshold","MI","success"
4,0.8578125,"Simulation: retained episodes","threshold","MI","success"
5,0.86796875,"Simulation: retained episodes","threshold","MI","success"
6,0.8703125,"Simulation: retained episodes","threshold","MI","success"
7,0.875,"Simulation: retained episodes","threshold","MI","success"
8,0.875,"Simulation: retained episodes","threshold","MI","success"
9,0.87421875,"Simulation: retained episodes","threshold","MI","success"
10,0.871875,"Simulation: retained episodes","threshold","MI","success"
11,0.8734375,"Simulation: retained episodes","threshold","MI","success"
12,0.87421875,"Simulation: retained episodes","threshold","MI","success"
13,0.8734375,"Simulation: retained episodes","threshold","MI","success"
14,0.87265625,"Simulation: retained episodes","threshold","MI","success"
15,0.87421875,"Simulation: retained episodes","threshold","MI","success"
16,0.8734375,"Simulation: retained episodes","threshold","MI","success"
17,0.8734375,"Simulation: retained episodes","threshold","MI","success"
18,0.87265625,"Simulation: retained episodes","threshold","MI","success"
19,0.8734375,"Simulation: retained episodes","threshold","MI","success"
20,0.87421875,"Simulation: retained episodes","threshold","MI","success"
1,0.4,"Experiment","threshold","MI","success"
2,0.54,"Experiment","threshold","MI","success"
3,0.56,"Experiment","threshold","MI","success"
4,0.46,"Experiment","threshold","MI","success"
5,0.56,"Experiment","threshold","MI","success"
6,0.54,"Experiment","threshold","MI","success"
7,0.54,"Experiment","threshold","MI","success"
8,0.56,"Experiment","threshold","MI","success"
9,0.58,"Experiment","threshold","MI","success"
10,0.64,"Experiment","threshold","MI","success"
11,0.66,"Experiment","threshold","MI","success"
12,0.6,"Experiment","threshold","MI","success"
13,0.6,"Experiment","threshold","MI","success"
14,0.62,"Experiment","threshold","MI","success"
15,0.7,"Experiment","threshold","MI","success"
16,0.68,"Experiment","threshold","MI","success"
17,0.68,"Experiment","threshold","MI","success"
18,0.62,"Experiment","threshold","MI","success"
19,0.64,"Experiment","threshold","MI","success"
20,0.58,"Experiment","threshold","MI","success"
